index	words	occurrences
4320	nih	16
4321	conducting	16
4322	regions	16
4323	weisfield	16
4324	heritage	16
4325	witness	16
4326	judicial	16
4327	salaries	16
4328	employed	16
4329	affair	16
4330	techniques	16
4331	perception	16
4332	negotiate	16
4333	guys	16
4334	feature	16
4335	interpublic	16
4336	enterprise	16
4337	barred	16
4338	responding	16
4339	cargo	16
4340	longstanding	16
4341	altogether	16
4342	diamond	16
4343	bottle	16
4344	wines	16
4345	acre	16
4346	wins	16
4347	orleans	16
4348	harold	16
4349	jerry	16
4350	cocacola	16
4351	attracting	16
4352	registration	16
4353	chandler	16
4354	band	16
4355	vision	16
4356	steadily	16
4357	protests	16
4358	requests	16
4359	parking	16
4360	drove	16
4361	fouryear	16
4362	arrest	16
4363	formula	16
4364	highquality	16
4365	housesenate	16
4366	regime	16
4367	injuries	16
4368	alcohol	16
4369	diminished	16
4370	xerox	16
4371	thanks	16
4372	libor	16
4373	alfred	16
4374	presidency	16
4375	perform	16
4376	crops	16
4377	establishment	16
4378	successfully	16
4379	halted	16
4380	publicity	16
4381	taxation	16
4382	don	16
4383	oklahoma	16
4384	doubts	16
4385	creates	16
4386	immune	16
4387	magnetic	16
4388	combine	16
4389	noncallable	16
4390	wealth	16
4391	discontinued	16
4392	cs	16
4393	stretch	16
4394	suisse	16
4395	apples	16
4396	affecting	16
4397	milan	16
4398	rain	16
4399	routes	16
4400	instrument	16
4401	opposite	16
4402	indexing	16
4403	skeptical	16
4404	specify	16
4405	ignored	16
4406	tony	16
4407	stemmed	16
4408	adverse	16
4409	finnish	16
4410	toy	16
4411	discussion	16
4412	depends	16
4413	bears	16
4414	sentence	16
4415	upper	16
4416	harvest	16
4417	earning	16
4418	shared	16
4419	tougher	16
4420	animals	16
4421	threatening	16
4422	glasnost	16
4423	hybrid	16
4424	suggestions	16
4425	indian	16
4426	quit	16
4427	throw	16
4428	dataproducts	16
4429	topic	16
4430	losers	16
4431	tanks	16
4432	blocking	16
4433	prince	16
4434	privatesector	16
4435	reynolds	16
4436	rejection	16
4437	desk	16
4438	counted	16
4439	cubic	16
4440	cup	16
4441	moral	16
4442	challenges	16
4443	deutsche	16
4444	procter	16
4445	pursuing	16
4446	brother	16
4447	taxexempt	16
4448	alaska	16
4449	misleading	16
4450	slashed	16
4451	azoff	16
4452	nfl	16
4453	filipino	16
4454	lbo	16
4455	arkansas	16
4456	consolidation	16
4457	stateswest	16
4458	pursuit	16
4459	regulator	16
4460	societe	16
4461	radiation	16
4462	toshiba	16
4463	shield	16
4464	angelesbased	16
4465	solve	16
4466	quotron	16
4467	swedish	16
4468	gould	16
4469	republic	16
4470	hughes	16
4471	levine	16
4472	apartheid	16
4473	amex	16
4474	straszheim	16
4475	ignore	16
4476	daly	16
4477	roads	16
4478	colgate	16
4479	comedy	16
4480	fresenius	16
4481	provigo	16
4482	anheuser	16
4483	ingersoll	16
4484	commuters	16
4485	prudential	16
4486	bourbon	16
4487	ashland	16
4488	galileo	16
4489	nsc	16
4490	mcdonough	16
4491	dry	15
4492	indicator	15
4493	yielding	15
4494	eat	15
4495	disputes	15
4496	hartford	15
4497	colo	15
4498	patents	15
4499	counterparts	15
4500	beneficiaries	15
4501	influential	15
4502	drawing	15
4503	intervention	15
4504	philippine	15
4505	historically	15
4506	signals	15
4507	dodge	15
4508	imminent	15
4509	spirit	15
4510	letting	15
4511	smoke	15
4512	solely	15
4513	accrued	15
4514	dialogue	15
4515	mention	15
4516	commercials	15
4517	shake	15
4518	grows	15
4519	interviews	15
4520	intention	15
4521	architecture	15
4522	protest	15
4523	dark	15
4524	booming	15
4525	restructured	15
4526	cultural	15
4527	furniture	15
4528	feared	15
4529	subjects	15
4530	alive	15
4531	afraid	15
4532	improving	15
4533	sacramento	15
4534	patient	15
4535	yale	15
4536	sugarman	15
4537	notice	15
4538	detail	15
4539	illegally	15
4540	reviewing	15
4541	sparked	15
4542	boys	15
4543	emerge	15
4544	industrywide	15
4545	column	15
4546	specializes	15
4547	temple	15
4548	sweetened	15
4549	inches	15
4550	conversations	15
4551	barrier	15
4552	nan	15
4553	larry	15
4554	bargain	15
4555	perfectly	15
4556	hotels	15
4557	reject	15
4558	redeem	15
4559	refunding	15
4560	aim	15
4561	nl	15
4562	recommendations	15
4563	feed	15
4564	saving	15
4565	promotional	15
4566	performing	15
4567	knocked	15
4568	hole	15
4569	pressing	15
4570	crunch	15
4571	signing	15
4572	bernstein	15
4573	exception	15
4574	spoke	15
4575	demonstrations	15
4576	dissident	15
4577	visited	15
4578	defined	15
4579	mount	15
4580	dell	15
4581	actively	15
4582	cope	15
4583	serves	15
4584	protesters	15
4585	perestroika	15
4586	fines	15
4587	properly	15
4588	cincinnati	15
4589	connected	15
4590	occasionally	15
4591	dubbed	15
4592	intend	15
4593	z	15
4594	tremendous	15
4595	bennett	15
4596	drought	15
4597	minnesota	15
4598	hearst	15
4599	deterioration	15
4600	preference	15
4601	billing	15
4602	contel	15
4603	seize	15
4604	champion	15
4605	enjoy	15
4606	constantly	15
4607	cruise	15
4608	heading	15
4609	aspect	15
4610	yamaichi	15
4611	structured	15
4612	bureaucracy	15
4613	recall	15
4614	pills	15
4615	zurich	15
4616	manila	15
4617	equaling	15
4618	steinberg	15
4619	regardless	15
4620	upjohn	15
4621	displays	15
4622	nicaraguan	15
4623	pan	15
4624	climb	15
4625	outlays	15
4626	gillett	15
4627	trimmed	15
4628	arrested	15
4629	andersson	15
4630	norfolk	15
4631	percent	15
4632	platinum	15
4633	steelmakers	15
4634	choices	15
4635	warm	15
4636	seeds	15
4637	unprecedented	15
4638	anymore	15
4639	loanloss	15
4640	ally	15
4641	agnelli	15
4642	invited	15
4643	rtc	15
4644	grammrudman	15
4645	reduces	15
4646	chances	15
4647	signaled	15
4648	launching	15
4649	northwest	15
4650	israeli	15
4651	tasks	15
4652	suggesting	15
4653	bus	15
4654	oregon	15
4655	levy	15
4656	receivables	15
4657	wider	15
4658	stems	15
4659	contended	15
4660	rubles	15
4661	seidman	15
4662	suitor	15
4663	refinancing	15
4664	denver	15
4665	confusion	15
4666	repurchase	15
4667	earthquakes	15
4668	reverse	15
4669	unocal	15
4670	municipals	15
4671	definition	15
4672	underwriting	15
4673	comptroller	15
4674	pitch	15
4675	writes	15
4676	payroll	15
4677	listen	15
4678	ru	15
4679	squibb	15
4680	conclusion	15
4681	wire	15
4682	rochester	15
4683	shock	15
4684	shippers	15
4685	whitten	15
4686	dentsu	15
4687	absorb	15
4688	attendants	15
4689	fcc	15
4690	skase	15
4691	forfeiture	15
4692	ima	15
4693	azt	15
4694	bogart	15
4695	mancuso	15
4696	furs	15
4697	vermont	14
4698	sevenday	14
4699	sooner	14
4700	springs	14
4701	mere	14
4702	prolonged	14
4703	reward	14
4704	illuminating	14
4705	persistent	14
4706	asserted	14
4707	norman	14
4708	manufacture	14
4709	survival	14
4710	anticipates	14
4711	drain	14
4712	sheets	14
4713	stevens	14
4714	interim	14
4715	scrutiny	14
4716	genuine	14
4717	negotiators	14
4718	carlos	14
4719	computing	14
4720	screens	14
4721	gates	14
4722	islands	14
4723	overhead	14
4724	issuing	14
4725	urge	14
4726	taste	14
4727	depositary	14
4728	slip	14
4729	suppliers	14
4730	dogs	14
4731	backer	14
4732	bates	14
4733	cabinet	14
4734	torontobased	14
4735	actor	14
4736	returning	14
4737	rough	14
4738	eating	14
4739	peck	14
4740	errors	14
4741	scientist	14
4742	sites	14
4743	textile	14
4744	pride	14
4745	joe	14
4746	crowded	14
4747	knowledge	14
4748	tissue	14
4749	institutes	14
4750	ratners	14
4751	outcry	14
4752	receives	14
4753	filling	14
4754	consists	14
4755	defendant	14
4756	murray	14
4757	judiciary	14
4758	irancontra	14
4759	contrary	14
4760	poorly	14
4761	robertson	14
4762	keeps	14
4763	practical	14
4764	breaks	14
4765	apiece	14
4766	vans	14
4767	circle	14
4768	passage	14
4769	lion	14
4770	responses	14
4771	steelmaker	14
4772	postponed	14
4773	advancing	14
4774	proposing	14
4775	agreeing	14
4776	combat	14
4777	disagree	14
4778	journalists	14
4779	anxious	14
4780	promising	14
4781	targeting	14
4782	charlotte	14
4783	tenn	14
4784	deregulation	14
4785	chevrolet	14
4786	savingsandloan	14
4787	intermediate	14
4788	aims	14
4789	lucky	14
4790	evident	14
4791	deeply	14
4792	passing	14
4793	listing	14
4794	wary	14
4795	chunk	14
4796	liquid	14
4797	fought	14
4798	careful	14
4799	administrator	14
4800	beta	14
4801	initiatives	14
4802	fate	14
4803	growers	14
4804	hawaii	14
4805	marvin	14
4806	acknowledges	14
4807	error	14
4808	chose	14
4809	text	14
4810	tenure	14
4811	convention	14
4812	item	14
4813	farms	14
4814	attempted	14
4815	handed	14
4816	considers	14
4817	borough	14
4818	consisting	14
4819	refuse	14
4820	gambling	14
4821	movements	14
4822	locations	14
4823	arnold	14
4824	anderson	14
4825	taylor	14
4826	issuers	14
4827	nippon	14
4828	shed	14
4829	wellington	14
4830	households	14
4831	ninemonth	14
4832	brazilian	14
4833	granted	14
4834	trees	14
4835	atmosphere	14
4836	withdrew	14
4837	unexpected	14
4838	troops	14
4839	territory	14
4840	proteins	14
4841	narrowed	14
4842	questioned	14
4843	trim	14
4844	bidder	14
4845	politically	14
4846	battery	14
4847	strain	14
4848	procedure	14
4849	supports	14
4850	oversees	14
4851	ranges	14
4852	appearance	14
4853	parker	14
4854	accompanied	14
4855	lobbying	14
4856	distance	14
4857	naturally	14
4858	automatically	14
4859	confrontation	14
4860	anxiety	14
4861	sport	14
4862	throwing	14
4863	mandatory	14
4864	alter	14
4865	capable	14
4866	wearing	14
4867	fundamentals	14
4868	routinely	14
4869	instructions	14
4870	constant	14
4871	married	14
4872	excellent	14
4873	penney	14
4874	minerals	14
4875	informal	14
4876	avoided	14
4877	affidavit	14
4878	convenience	14
4879	chicagobased	14
4880	disobedience	14
4881	ira	14
4882	preserve	14
4883	probe	14
4884	function	14
4885	diego	14
4886	reveal	14
4887	nearterm	14
4888	mess	14
4889	alleges	14
4890	catastrophic	14
4891	flexible	14
4892	sessions	14
4893	insulin	14
4894	popularity	14
4895	entities	14
4896	likes	14
4897	solar	14
4898	quotes	14
4899	expertise	14
4900	issuance	14
4901	jose	14
4902	boyd	14
4903	settling	14
4904	fort	14
4905	pregnancy	14
4906	supervision	14
4907	recording	14
4908	lived	14
4909	mtm	14
4910	merieux	14
4911	expiration	14
4912	saks	14
4913	catalog	14
4914	adjust	14
4915	unilever	14
4916	quantum	14
4917	rican	14
4918	whittle	14
4919	ab	14
4920	pinnacle	14
4921	distribute	14
4922	helmsley	14
4923	tuition	14
4924	entrepreneurs	14
4925	edt	14
4926	showtime	14
4927	laff	14
4928	lang	14
4929	inco	14
4930	homefed	14
4931	artists	14
4932	mcduffie	14
4933	guzman	14
4934	cabrera	14
4935	fibers	13
4936	contracted	13
4937	rises	13
4938	boosts	13
4939	mazda	13
4940	victor	13
4941	lights	13
4942	sponsor	13
4943	casting	13
4944	conflicts	13
4945	gaining	13
4946	justify	13
4947	appliances	13
4948	disputed	13
4949	appellate	13
4950	stiff	13
4951	intellectual	13
4952	authors	13
4953	taipei	13
4954	quantities	13
4955	personally	13
4956	snapped	13
4957	manufactured	13
4958	mcgrawhill	13
4959	quotas	13
4960	reader	13
4961	contemporary	13
4962	funny	13
4963	pack	13
4964	defeat	13
4965	lesson	13
4966	palestinian	13
4967	establishing	13
4968	operated	13
4969	laid	13
4970	greenwich	13
4971	voices	13
4972	seattle	13
4973	corruption	13
4974	courtroom	13
4975	lying	13
4976	contributing	13
4977	breach	13
4978	inspired	13
4979	classroom	13
4980	scoring	13
4981	seventh	13
4982	predecessor	13
4983	inner	13
4984	taught	13
4985	elizabeth	13
4986	mistake	13
4987	witnesses	13
4988	incident	13
4989	gauge	13
4990	publishes	13
4991	contains	13
4992	antiabortion	13
4993	hampered	13
4994	withdrawn	13
4995	antonio	13
4996	assured	13
4997	warns	13
4998	dan	13
4999	warnings	13
5000	document	13
5001	felony	13
5002	acted	13
5003	neal	13
5004	sum	13
5005	obtaining	13
5006	carbide	13
5007	prosecution	13
5008	rubber	13
5009	understood	13
5010	phase	13
5011	counting	13
5012	lure	13
5013	lock	13
5014	wouldbe	13
5015	soup	13
5016	scared	13
5017	automatic	13
5018	lay	13
5019	leasing	13
5020	accessories	13
5021	retiring	13
5022	walking	13
5023	expired	13
5024	nominal	13
5025	challenging	13
5026	impending	13
5027	halfhour	13
5028	fancy	13
5029	businessman	13
5030	switched	13
5031	demanding	13
5032	exercisable	13
5033	breakers	13
5034	angels	13
5035	pulling	13
5036	promptly	13
5037	fault	13
5038	tea	13
5039	observed	13
5040	weaken	13
5041	nbi	13
5042	massacre	13
5043	embassy	13
5044	prof	13
5045	indexarbitrage	13
5046	enacted	13
5047	teddy	13
5048	caribbean	13
5049	removing	13
5050	cambridge	13
5051	sponsors	13
5052	builders	13
5053	allied	13
5054	nonprofit	13
5055	depository	13
5056	acceptances	13
5057	interpretation	13
5058	depression	13
5059	register	13
5060	restored	13
5061	beers	13
5062	forget	13
5063	engage	13
5064	midland	13
5065	arrangements	13
5066	consistent	13
5067	waited	13
5068	stoll	13
5069	destroy	13
5070	sotheby	13
5071	marketed	13
5072	limiting	13
5073	superconductors	13
5074	doublea	13
5075	franc	13
5076	borrowings	13
5077	duck	13
5078	favors	13
5079	profittaking	13
5080	fixedincome	13
5081	derivative	13
5082	quietly	13
5083	tendered	13
5084	native	13
5085	liquidation	13
5086	unspecified	13
5087	entity	13
5088	remarkable	13
5089	fullyear	13
5090	meridian	13
5091	slated	13
5092	winner	13
5093	contra	13
5094	armed	13
5095	jon	13
5096	carter	13
5097	clothes	13
5098	irving	13
5099	carbon	13
5100	sank	13
5101	bushel	13
5102	port	13
5103	influenced	13
5104	ideal	13
5105	inch	13
5106	eli	13
5107	wind	13
5108	shoes	13
5109	sc	13
5110	inflationadjusted	13
5111	rebounded	13
5112	europeans	13
5113	sister	13
5114	murphy	13
5115	unnecessary	13
5116	drag	13
5117	theft	13
5118	mile	13
5119	ice	13
5120	okicki	13
5121	foothills	13
5122	comic	13
5123	reactions	13
5124	lie	13
5125	frequent	13
5126	cholesterol	13
5127	border	13
5128	dress	13
5129	naval	13
5130	tariffs	13
5131	nonviolent	13
5132	excuse	13
5133	repairs	13
5134	delegation	13
5135	collect	13
5136	acceptable	13
5137	deeper	13
5138	multiple	13
5139	thereafter	13
5140	perfect	13
5141	repeal	13
5142	concerning	13
5143	method	13
5144	proceed	13
5145	affluent	13
5146	gillette	13
5147	freemarket	13
5148	landscape	13
5149	kraft	13
5150	microsoft	13
5151	phenomenon	13
5152	ted	13
5153	orkem	13
5154	genentech	13
5155	diabetics	13
5156	interpreted	13
5157	lows	13
5158	epa	13
5159	discovery	13
5160	announcements	13
5161	courtaulds	13
5162	kravis	13
5163	shadow	13
5164	hedge	13
5165	humana	13
5166	proceeding	13
5167	tables	13
5168	surveys	13
5169	talent	13
5170	conversation	13
5171	assumes	13
5172	rank	13
5173	barry	13
5174	appealed	13
5175	bristolmyers	13
5176	quebec	13
5177	alberta	13
5178	marginal	13
5179	decent	13
5180	guess	13
5181	corner	13
5182	stabilize	13
5183	federated	13
5184	catastrophe	13
5185	steam	13
5186	terry	13
5187	raider	13
5188	rand	13
5189	exterior	13
5190	drama	13
5191	midst	13
5192	bernard	13
5193	petrie	13
5194	toxin	13
5195	kronor	13
5196	norton	13
5197	widened	13
5198	fournier	13
5199	schwarz	13
5200	renault	13
5201	pwa	13
5202	merksamer	13
5203	ramada	13
5204	utilization	13
5205	boesky	13
5206	roderick	13
5207	blumenfeld	13
5208	highdefinition	13
5209	pachinko	13
5210	hr	13
5211	agnos	13
5212	peterson	13
5213	symptoms	12
5214	questionable	12
5215	bearing	12
5216	clark	12
5217	watches	12
5218	rewards	12
5219	slash	12
5220	tracking	12
5221	upheld	12
5222	mediumsized	12
5223	describe	12
5224	hurting	12
5225	vowed	12
5226	merit	12
5227	feels	12
5228	centennial	12
5229	label	12
5230	injury	12
5231	o	12
5232	advantages	12
5233	montedison	12
5234	ranged	12
5235	narrowly	12
5236	brings	12
5237	swing	12
5238	frenzy	12
5239	folks	12
5240	amended	12
5241	ussr	12
5242	patterns	12
5243	outsiders	12
5244	plot	12
5245	sweet	12
5246	globe	12
5247	smoking	12
5248	endorsed	12
5249	arafat	12
5250	plo	12
5251	environmentalists	12
5252	terminated	12
5253	painting	12
5254	precisely	12
5255	spends	12
5256	scenes	12
5257	empty	12
5258	bold	12
5259	photos	12
5260	tradition	12
5261	featured	12
5262	spur	12
5263	concentrated	12
5264	graduate	12
5265	regard	12
5266	teach	12
5267	defended	12
5268	treated	12
5269	statute	12
5270	bonus	12
5271	teaching	12
5272	harm	12
5273	transplants	12
5274	londonbased	12
5275	redeemed	12
5276	trotter	12
5277	privilege	12
5278	spark	12
5279	requirement	12
5280	highpriced	12
5281	threats	12
5282	counseling	12
5283	oliver	12
5284	ga	12
5285	accepting	12
5286	unfairly	12
5287	library	12
5288	logic	12
5289	speculate	12
5290	buoyed	12
5291	jay	12
5292	minimal	12
5293	dick	12
5294	disappointment	12
5295	editors	12
5296	printed	12
5297	ongoing	12
5298	heights	12
5299	henderson	12
5300	creek	12
5301	perceived	12
5302	merchants	12
5303	beautiful	12
5304	exercised	12
5305	fails	12
5306	proof	12
5307	solicitation	12
5308	replacing	12
5309	omitted	12
5310	moore	12
5311	doors	12
5312	execute	12
5313	trigger	12
5314	regulated	12
5315	ring	12
5316	youth	12
5317	manner	12
5318	demonstrators	12
5319	images	12
5320	barbara	12
5321	glenn	12
5322	andrew	12
5323	stewart	12
5324	ore	12
5325	computerdriven	12
5326	proponents	12
5327	impressive	12
5328	forestproducts	12
5329	amendments	12
5330	lobbyist	12
5331	beauty	12
5332	install	12
5333	hang	12
5334	discrepancies	12
5335	evaluation	12
5336	welfare	12
5337	criteria	12
5338	usia	12
5339	examine	12
5340	conclude	12
5341	mcgovern	12
5342	convince	12
5343	containing	12
5344	declaring	12
5345	recommendation	12
5346	reluctance	12
5347	strengthened	12
5348	soybeans	12
5349	examiner	12
5350	exceeding	12
5351	moments	12
5352	missed	12
5353	trans	12
5354	betting	12
5355	constitute	12
5356	seconds	12
5357	complains	12
5358	picks	12
5359	transfers	12
5360	somehow	12
5361	noticed	12
5362	ballot	12
5363	inquiries	12
5364	capitalism	12
5365	writedowns	12
5366	serial	12
5367	pencil	12
5368	candlestick	12
5369	concede	12
5370	proportion	12
5371	wis	12
5372	sidelines	12
5373	amsterdam	12
5374	stayed	12
5375	ginnie	12
5376	unveil	12
5377	indexes	12
5378	notified	12
5379	oust	12
5380	shuttle	12
5381	offensive	12
5382	fled	12
5383	alert	12
5384	costcutting	12
5385	jonathan	12
5386	protein	12
5387	defects	12
5388	runkel	12
5389	rebuild	12
5390	minds	12
5391	capel	12
5392	weakened	12
5393	cooperative	12
5394	postal	12
5395	suggestion	12
5396	destruction	12
5397	retains	12
5398	sometime	12
5399	valid	12
5400	portable	12
5401	nights	12
5402	boss	12
5403	missile	12
5404	microsystems	12
5405	sick	12
5406	insolvent	12
5407	dump	12
5408	indicted	12
5409	daughter	12
5410	columnist	12
5411	inclined	12
5412	pretrial	12
5413	newsprint	12
5414	jc	12
5415	demanded	12
5416	homeowners	12
5417	viable	12
5418	exclude	12
5419	mounting	12
5420	hispanic	12
5421	grocery	12
5422	fishing	12
5423	strange	12
5424	threw	12
5425	advising	12
5426	selection	12
5427	spots	12
5428	deficits	12
5429	palo	12
5430	fruit	12
5431	gate	12
5432	pessimistic	12
5433	regain	12
5434	rid	12
5435	boasts	12
5436	ruble	12
5437	rush	12
5438	nynex	12
5439	availability	12
5440	chugai	12
5441	fraudulent	12
5442	donated	12
5443	streamlining	12
5444	crush	12
5445	depreciation	12
5446	challenged	12
5447	tentative	12
5448	enhance	12
5449	dated	12
5450	fitness	12
5451	burns	12
5452	burger	12
5453	prevented	12
5454	nrm	12
5455	withdrawals	12
5456	maintains	12
5457	assassination	12
5458	customs	12
5459	statistical	12
5460	colombia	12
5461	politburo	12
5462	resignations	12
5463	laptop	12
5464	ourselves	12
5465	sentenced	12
5466	highways	12
5467	chromosome	12
5468	peladeau	12
5469	mackenzie	12
5470	transcanada	12
5471	bobby	12
5472	margaret	12
5473	taxfree	12
5474	cibageigy	12
5475	attitudes	12
5476	kate	12
5477	candy	12
5478	translated	12
5479	darman	12
5480	polly	12
5481	declares	12
5482	gte	12
5483	waves	12
5484	prosecutions	12
5485	census	12
5486	coastal	12
5487	apartments	12
5488	southwest	12
5489	texans	12
5490	circus	12
5491	workstations	12
5492	northrop	12
5493	odeon	12
5494	masson	12
5495	coins	12
5496	mirage	12
5497	aided	12
5498	salesmen	12
5499	lorin	12
5500	goodyear	12
5501	carat	12
5502	barre	12
5503	chan	12
5504	kent	11
5505	substance	11
5506	regulate	11
5507	smooth	11
5508	reinvestment	11
5509	dreyfus	11
5510	computerized	11
5511	midnight	11
5512	guests	11
5513	stars	11
5514	indiana	11
5515	refunds	11
5516	depend	11
5517	creativity	11
5518	arabia	11
5519	inadequate	11
5520	greece	11
5521	protecting	11
5522	desktop	11
5523	gradually	11
5524	petition	11
5525	stepping	11
5526	erbamont	11
5527	explosion	11
5528	burned	11
5529	cutbacks	11
5530	climbing	11
5531	belong	11
5532	macmillan	11
5533	describes	11
5534	mirror	11
5535	plate	11
5536	overtime	11
5537	clubs	11
5538	pressured	11
5539	compensate	11
5540	revived	11
5541	earns	11
5542	existence	11
5543	achievement	11
5544	deserve	11
5545	recommend	11
5546	reservations	11
5547	tour	11
5548	generations	11
5549	neighbors	11
5550	route	11
5551	fits	11
5552	tripled	11
5553	wilson	11
5554	designing	11
5555	desirable	11
5556	anger	11
5557	surfaced	11
5558	governors	11
5559	breakdown	11
5560	dismissal	11
5561	herself	11
5562	testify	11
5563	slate	11
5564	humans	11
5565	federally	11
5566	imposing	11
5567	mechanism	11
5568	mobile	11
5569	disciplinary	11
5570	penny	11
5571	hiroshima	11
5572	converting	11
5573	positioned	11
5574	cites	11
5575	cosby	11
5576	tactics	11
5577	premiere	11
5578	pickup	11
5579	pressed	11
5580	shoulder	11
5581	al	11
5582	opinions	11
5583	objective	11
5584	discretionary	11
5585	marketer	11
5586	rushed	11
5587	eaton	11
5588	pit	11
5589	bull	11
5590	likelihood	11
5591	licensed	11
5592	rhetoric	11
5593	scrambling	11
5594	borrowers	11
5595	iras	11
5596	lowcost	11
5597	demise	11
5598	arguing	11
5599	hitting	11
5600	methods	11
5601	element	11
5602	wealthy	11
5603	historic	11
5604	speaking	11
5605	ambassador	11
5606	klein	11
5607	birmingham	11
5608	admitting	11
5609	consented	11
5610	bronx	11
5611	stuart	11
5612	pegged	11
5613	opens	11
5614	implies	11
5615	swiftly	11
5616	diversification	11
5617	waters	11
5618	abandon	11
5619	architects	11
5620	visits	11
5621	osha	11
5622	lacks	11
5623	johns	11
5624	escape	11
5625	substitute	11
5626	chivas	11
5627	placement	11
5628	override	11
5629	lorenzo	11
5630	sorts	11
5631	memo	11
5632	gordon	11
5633	herbert	11
5634	fulton	11
5635	multiples	11
5636	context	11
5637	extending	11
5638	recruiting	11
5639	maximize	11
5640	visa	11
5641	nev	11
5642	occurs	11
5643	automated	11
5644	mutualfund	11
5645	completing	11
5646	staffs	11
5647	patrick	11
5648	shortages	11
5649	interior	11
5650	moderately	11
5651	samples	11
5652	processes	11
5653	pricings	11
5654	nonus	11
5655	allocation	11
5656	equitypurchase	11
5657	proving	11
5658	uncertainties	11
5659	liable	11
5660	directed	11
5661	bolstered	11
5662	goldsmith	11
5663	sydney	11
5664	walker	11
5665	occidental	11
5666	zero	11
5667	daytoday	11
5668	toledo	11
5669	debenture	11
5670	topped	11
5671	russell	11
5672	deliberately	11
5673	edelman	11
5674	explore	11
5675	austin	11
5676	megabyte	11
5677	microprocessor	11
5678	reuters	11
5679	dunkin	11
5680	nonrecurring	11
5681	firmly	11
5682	violating	11
5683	salinas	11
5684	pledged	11
5685	defeated	11
5686	battered	11
5687	treating	11
5688	induce	11
5689	formation	11
5690	integrity	11
5691	scams	11
5692	rigid	11
5693	scandals	11
5694	whenever	11
5695	cereal	11
5696	exporters	11
5697	permits	11
5698	procedural	11
5699	galvanized	11
5700	container	11
5701	brian	11
5702	audiences	11
5703	listening	11
5704	extreme	11
5705	principles	11
5706	belgium	11
5707	isolated	11
5708	robinson	11
5709	goldberg	11
5710	opposing	11
5711	fun	11
5712	dave	11
5713	seasons	11
5714	background	11
5715	longdistance	11
5716	lag	11
5717	denominations	11
5718	flagship	11
5719	athletics	11
5720	figured	11
5721	manuel	11
5722	insisting	11
5723	seemingly	11
5724	tale	11
5725	hess	11
5726	linking	11
5727	regularly	11
5728	ousted	11
5729	myself	11
5730	cambria	11
5731	lawn	11
5732	unexpectedly	11
5733	unrelated	11
5734	beatrice	11
5735	evaluate	11
5736	pennzoil	11
5737	enfield	11
5738	bros	11
5739	accusations	11
5740	survived	11
5741	mystery	11
5742	likewise	11
5743	vessels	11
5744	objections	11
5745	legislator	11
5746	proposes	11
5747	schedules	11
5748	resisted	11
5749	infiniti	11
5750	lexus	11
5751	damp	11
5752	critic	11
5753	criminals	11
5754	airing	11
5755	cambodia	11
5756	backs	11
5757	monitored	11
5758	alto	11
5759	kleinwort	11
5760	tumble	11
5761	tends	11
5762	pittston	11
5763	capitalists	11
5764	medicaid	11
5765	sharon	11
5766	strengthening	11
5767	boxes	11
5768	comply	11
5769	rallies	11
5770	hambrecht	11
5771	quist	11
5772	stalled	11
5773	panamanian	11
5774	discounted	11
5775	bacteria	11
5776	financiere	11
5777	vietnamese	11
5778	floating	11
5779	subsequently	11
5780	intimate	11
5781	bikes	11
5782	painful	11
5783	pfeiffer	11
5784	affiliated	11
5785	vigorous	11
5786	bryant	11
5787	lexington	11
5788	dog	11
5789	platform	11
5790	pouring	11
5791	colombian	11
5792	cooperatives	11
5793	profile	11
5794	bureaucrats	11
5795	chart	11
5796	contact	11
5797	hoechst	11
5798	crazy	11
5799	limitations	11
5800	helicopter	11
5801	carol	11
5802	freely	11
5803	corr	11
5804	breakup	11
5805	writedown	11
5806	sutton	11
5807	stabilizing	11
5808	ap	11
5809	richter	11
5810	rental	11
5811	doubling	11
5812	luzon	11
5813	fitzwater	11
5814	prospectus	11
5815	nathan	11
5816	chung	11
5817	actors	11
5818	mart	11
5819	slipping	11
5820	temperatures	11
5821	trinova	11
5822	eastman	11
5823	reviews	11
5824	plain	11
5825	dynamic	11
5826	gallery	11
5827	emhart	11
5828	wang	11
5829	trucking	11
5830	smart	11
5831	vila	11
5832	schwartz	11
5833	gorky	11
5834	violin	11
5835	u	11
5836	fur	11
5837	filters	10
5838	surviving	10
5839	lung	10
5840	industrialized	10
5841	towns	10
5842	welcomed	10
5843	breakfast	10
5844	announcer	10
5845	buses	10
5846	hottest	10
5847	knowing	10
5848	newsweek	10
5849	fierce	10
5850	toys	10
5851	curry	10
5852	collecting	10
5853	precedent	10
5854	inched	10
5855	fledgling	10
5856	operational	10
5857	degrees	10
5858	discouraging	10
5859	instituted	10
5860	declaration	10
5861	mulford	10
5862	milestones	10
5863	pet	10
5864	adapted	10
5865	optical	10
5866	preferences	10
5867	purchasers	10
5868	indirect	10
5869	closedend	10
5870	province	10
5871	wildly	10
5872	scrambled	10
5873	repaid	10
5874	lent	10
5875	obstacles	10
5876	blank	10
5877	buildup	10
5878	polled	10
5879	boomers	10
5880	unique	10
5881	plaza	10
5882	czechoslovakia	10
5883	village	10
5884	cure	10
5885	sympathetic	10
5886	openly	10
5887	content	10
5888	nasty	10
5889	voluntarily	10
5890	oversight	10
5891	devastating	10
5892	pursued	10
5893	spurred	10
5894	parallel	10
5895	nancy	10
5896	walt	10
5897	standardized	10
